drugname,pt,a,b,c,d,PRR,ROR,ROR_CI_Lower,ROR_CI_Upper,Chi_Square,Chi2p_value,Fisherp_value,signal_status
JARDIANCE,AMPUTATION,4,1116.00,5.00,389256.00,278.04,279.04,74.83,1040.51,613.45,0.00,0.00,signal detected
EPOGEN,CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,25,47.00,743.00,389566.00,182.40,278.89,170.77,455.46,4371.95,0.00,0.00,signal detected
UZEDY,INJECTION SITE NODULE,7,156.00,63.00,390155.00,266.00,277.89,125.30,616.29,1663.50,0.00,0.00,signal detected
TRAZODONE,RESPIRATORY ARREST,6,87.00,97.00,390191.00,259.59,277.42,118.47,649.65,1455.89,0.00,0.00,signal detected
KESIMPTA,EXPANDED DISABILITY STATUS SCALE SCORE INCREASED,17,1832.00,13.00,388519.00,274.79,277.33,134.51,571.80,2009.71,0.00,0.00,signal detected
INSULIN GLARGINE,DRUG DELIVERY SYSTEM ISSUE,4,404.00,14.00,389959.00,273.09,275.78,90.39,841.44,843.44,0.00,0.00,signal detected
LINEZOLID,DRUG LEVEL ABOVE THERAPEUTIC,3,193.00,22.00,390163.00,271.46,275.67,81.83,928.64,711.44,0.00,0.00,signal detected
ASPIRIN,LOW BIRTH WEIGHT BABY,3,137.00,31.00,390210.00,269.75,275.64,83.28,912.29,732.45,0.00,0.00,signal detected
NEULASTA,DEVICE ALARM ISSUE,7,1100.00,9.00,389265.00,273.50,275.24,102.32,740.37,1069.10,0.00,0.00,signal detected
CARVEDILOL,BRASH SYNDROME,7,107.00,93.00,390174.00,257.67,274.47,124.41,605.49,1664.90,0.00,0.00,signal detected
ELMIRON,RETINOPATHY,3,158.00,27.00,390193.00,269.30,274.40,82.40,913.74,721.78,0.00,0.00,signal detected
DOFETILIDE,ELECTROCARDIOGRAM QT PROLONGED,3,18.00,237.00,390123.00,235.30,274.35,80.28,937.57,691.58,0.00,0.00,signal detected
DELFLEX,PERITONITIS BACTERIAL,4,139.00,41.00,390197.00,266.24,273.87,96.79,774.89,963.12,0.00,0.00,signal detected
BENDAMUSTINE,CYTOMEGALOVIRUS INFECTION REACTIVATION,6,124.00,69.00,390182.00,261.04,273.62,116.65,641.84,1430.18,0.00,0.00,signal detected
ELEXACAFTOR\IVACAFTOR\TEZACAFTOR,INTRACRANIAL PRESSURE INCREASED,5,204.00,35.00,390137.00,266.69,273.21,105.97,704.35,1158.17,0.00,0.00,signal detected
RISPERDAL,OBESITY,11,524.00,30.00,389816.00,267.18,272.77,135.98,547.19,2134.66,0.00,0.00,signal detected
LUMIZYME,POOR VENOUS ACCESS,3,38.00,113.00,390227.00,252.76,272.63,82.96,895.99,733.04,0.00,0.00,signal detected
MINOXIDIL,APPLICATION SITE ACNE,7,1431.00,7.00,388936.00,270.47,271.79,95.21,775.87,939.71,0.00,0.00,signal detected
METHYLPHENIDATE,REVERSIBLE CEREBRAL VASOCONSTRICTION SYNDROME,3,154.00,28.00,390196.00,266.30,271.47,81.67,902.33,716.25,0.00,0.00,signal detected
MINOXIDIL,PLEUROPERICARDITIS,5,1433.00,5.00,388938.00,270.47,271.42,78.49,938.56,671.21,0.00,0.00,signal detected
GLIPIZIDE,HYPOGLYCAEMIA,4,27.00,213.00,390137.00,236.47,271.35,94.14,782.16,921.11,0.00,0.00,signal detected
INVEGA HAFYERA,UNDERDOSE,9,33.00,392.00,389947.00,213.38,271.30,128.96,570.72,1861.66,0.00,0.00,signal detected
TYVASO DPI,DRUG TOLERANCE DECREASED,8,639.00,18.00,389716.00,267.72,271.06,117.44,625.65,1471.80,0.00,0.00,signal detected
MINOXIDIL,APPLICATION SITE PAPULES,3,1435.00,3.00,388940.00,270.47,271.04,54.66,1344.04,402.72,0.00,0.00,signal detected
PLAN B ONE-STEP,MENSTRUATION IRREGULAR,13,382.00,49.00,389937.00,261.94,270.82,145.74,503.26,2671.12,0.00,0.00,signal detected
LYNPARZA,CARBOHYDRATE ANTIGEN 125 INCREASED,3,540.00,8.00,389830.00,269.23,270.72,71.63,1023.18,583.06,0.00,0.00,signal detected
VIREAD,ANHEDONIA,3,117.00,37.00,390224.00,263.69,270.43,82.23,889.32,726.27,0.00,0.00,signal detected
WOMENS ROGAINE UNSCENTED,HAIR COLOUR CHANGES,4,165.00,35.00,390177.00,263.88,270.25,94.98,768.96,940.19,0.00,0.00,signal detected
CAPLYTA,HYPOMANIA,4,289.00,20.00,390068.00,266.27,269.94,91.70,794.67,880.97,0.00,0.00,signal detected
CARBOPLATIN,IMMUNE-MEDIATED ENCEPHALOPATHY,3,1441.00,3.00,388934.00,269.35,269.91,54.43,1338.42,401.03,0.00,0.00,signal detected
TIZANIDINE,SEROTONIN SYNDROME,3,23.00,189.00,390166.00,238.31,269.27,80.17,904.39,698.21,0.00,0.00,signal detected
MEMANTINE,BRADYCARDIA,5,26.00,279.00,390071.00,225.66,268.87,102.51,705.21,1099.44,0.00,0.00,signal detected
ATORVASTATIN,OCULAR MYASTHENIA,6,870.00,10.00,389495.00,266.78,268.62,97.41,740.71,993.00,0.00,0.00,signal detected
TICAGRELOR,UPPER GASTROINTESTINAL HAEMORRHAGE,6,97.00,90.00,390188.00,252.61,268.17,114.62,627.45,1410.03,0.00,0.00,signal detected
PREDNISONE,STRONGYLOIDIASIS,3,1089.00,4.00,389285.00,267.37,268.10,59.93,1199.34,454.93,0.00,0.00,signal detected
MONTELUKAST,SOMNAMBULISM,5,331.00,22.00,390023.00,263.83,267.80,100.81,711.41,1066.80,0.00,0.00,signal detected
DELFLEX,HYPERVOLAEMIA,7,136.00,75.00,390163.00,254.70,267.76,121.20,591.54,1618.27,0.00,0.00,signal detected
BYDUREON BCISE,INJECTION SITE INDENTATION,6,380.00,23.00,389972.00,263.57,267.72,108.40,661.18,1244.82,0.00,0.00,signal detected
KOVALTRY,HAEMORRHAGE,29,62.00,681.00,389609.00,182.64,267.60,171.09,418.55,5033.91,0.00,0.00,signal detected
BOTOX,PARESIS,4,648.00,9.00,389720.00,265.66,267.30,82.11,870.18,730.18,0.00,0.00,signal detected
YERVOY,IMMUNE-MEDIATED ADVERSE REACTION,3,625.00,7.00,389746.00,265.98,267.25,68.95,1035.88,554.39,0.00,0.00,signal detected
VIREAD,CHRONIC KIDNEY DISEASE,17,103.00,241.00,390020.00,229.41,267.10,157.47,453.07,3613.64,0.00,0.00,signal detected
TRAZODONE,COMPLETED SUICIDE,17,76.00,327.00,389961.00,218.17,266.75,155.93,456.34,3496.51,0.00,0.00,signal detected
DIAZEPAM,MYDRIASIS,5,244.00,30.00,390102.00,261.13,266.46,102.53,692.49,1110.68,0.00,0.00,signal detected
FENSOLVI,INTERCEPTED PRODUCT PREPARATION ERROR,9,36.00,366.00,389970.00,213.30,266.37,127.39,556.97,1857.87,0.00,0.00,signal detected
TAMSULOSIN,CARDIOVASCULAR DISORDER,3,88.00,50.00,390240.00,257.33,266.07,81.46,869.07,722.75,0.00,0.00,signal detected
GADAVIST,THROAT TIGHTNESS,3,40.00,110.00,390228.00,247.57,266.06,81.10,872.89,717.38,0.00,0.00,signal detected
LITHIUM,PARKINSONISM,3,62.00,71.00,390245.00,253.73,265.96,81.58,867.06,724.71,0.00,0.00,signal detected
MARIBAVIR,CYTOMEGALOVIRUS VIRAEMIA,3,142.00,31.00,390205.00,260.45,265.93,80.38,879.79,707.00,0.00,0.00,signal detected
TOLVAPTAN,POLYURIA,3,400.00,11.00,389967.00,263.91,265.89,73.90,956.67,617.40,0.00,0.00,signal detected
PROLIA,BONE DENSITY ABNORMAL,5,1046.00,7.00,389323.00,264.60,265.86,84.24,839.01,765.95,0.00,0.00,signal detected
ZEJULA,OVARIAN CANCER,25,748.00,49.00,389559.00,257.15,265.71,163.27,432.45,4224.69,0.00,0.00,signal detected
INLYTA,NEPHRECTOMY,3,367.00,12.00,389999.00,263.52,265.67,74.66,945.35,627.68,0.00,0.00,signal detected
LUCENTIS,VISUAL ACUITY REDUCED,3,66.00,67.00,390245.00,253.28,264.75,81.23,862.95,721.69,0.00,0.00,signal detected
ESCITALOPRAM,METHAEMOGLOBINAEMIA,4,281.00,21.00,390075.00,260.72,264.41,90.19,775.23,869.35,0.00,0.00,signal detected
XYREM,POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME,3,369.00,12.00,389997.00,262.10,264.23,74.26,940.20,624.28,0.00,0.00,signal detected
INSULIN LISPRO JUNIOR KWIKPEN,BLOOD GLUCOSE INCREASED,4,6.00,983.00,389388.00,158.85,264.08,74.41,937.28,626.46,0.00,0.00,signal detected
ERIBULIN,MYELOSUPPRESSION,23,35.00,970.00,389353.00,159.57,263.77,155.28,448.07,3549.35,0.00,0.00,signal detected
BUPROPION,SEROTONIN SYNDROME,20,172.00,172.00,390017.00,236.31,263.67,162.08,428.92,4200.13,0.00,0.00,signal detected
LOKELMA,END STAGE RENAL DISEASE,3,114.00,39.00,390225.00,256.58,263.31,80.22,864.30,709.28,0.00,0.00,signal detected
PROACTIV MD ADAPALENE ACNE TREATMENT,SKIN IRRITATION,126,1489.00,125.00,388641.00,242.65,263.10,204.37,338.70,15110.38,0.00,0.00,signal detected
CARBIDOPA\LEVODOPA,FREEZING PHENOMENON,10,1138.00,13.00,389220.00,260.81,263.09,115.13,601.23,1462.95,0.00,0.00,signal detected
INGREZZA,PARKINSONISM,11,259.00,63.00,390048.00,252.28,262.95,137.00,504.68,2344.29,0.00,0.00,signal detected
EPOPROSTENOL,ASCITES,3,34.00,131.00,390213.00,241.60,262.83,79.73,866.39,702.96,0.00,0.00,signal detected
RYBREVANT,HYPOALBUMINAEMIA,3,165.00,27.00,390186.00,258.08,262.75,78.94,874.59,691.47,0.00,0.00,signal detected
POLIVY,DIFFUSE LARGE B-CELL LYMPHOMA REFRACTORY,3,194.00,23.00,390161.00,258.34,262.32,78.12,880.88,680.35,0.00,0.00,signal detected
NIFEDIPINE,BRASH SYNDROME,4,62.00,96.00,390219.00,246.41,262.24,93.56,735.09,938.79,0.00,0.00,signal detected
RAMIPRIL,RAYNAUD'S PHENOMENON,4,186.00,32.00,390159.00,256.70,262.20,91.82,748.79,905.71,0.00,0.00,signal detected
DURYSTA,PRODUCT ADMINISTERED AT INAPPROPRIATE SITE,3,16.00,279.00,390083.00,220.92,262.15,75.96,904.73,650.25,0.00,0.00,signal detected
VYVANSE,PRODUCT AVAILABILITY ISSUE,53,252.00,313.00,389763.00,216.56,261.90,190.89,359.31,9734.36,0.00,0.00,signal detected
ADO-TRASTUZUMAB EMTANSINE,DISEASE PROGRESSION,9,10.00,1338.00,389024.00,138.20,261.68,106.16,645.01,1221.87,0.00,0.00,signal detected
PROCRIT,EXPIRED PRODUCT ADMINISTERED,6,38.00,236.00,390101.00,225.54,261.00,109.30,623.24,1308.83,0.00,0.00,signal detected
TECARTUS,CYTOKINE RELEASE SYNDROME,24,75.00,480.00,389802.00,197.11,259.87,162.70,415.08,4465.59,0.00,0.00,signal detected
CISPLATIN,ARTERIOSPASM CORONARY,6,265.00,34.00,390076.00,254.03,259.76,108.15,623.90,1285.52,0.00,0.00,signal detected
FASENRA,ASTHMATIC CRISIS,6,644.00,14.00,389717.00,256.97,259.35,99.35,677.01,1070.93,0.00,0.00,signal detected
AXITINIB,HYPOTHYROIDISM,3,21.00,215.00,390142.00,226.95,259.23,76.75,875.52,665.95,0.00,0.00,signal detected
CLOZARIL,SCHIZOPHRENIA,47,1023.00,69.00,389242.00,247.83,259.17,178.00,377.37,6874.92,0.00,0.00,signal detected
REMODULIN,INFUSION SITE PAIN,31,676.00,69.00,389605.00,247.63,258.93,168.36,398.23,5255.35,0.00,0.00,signal detected
NOXAFIL,PRODUCT ADMINISTERED TO PATIENT OF INAPPROPRIATE AGE,3,78.00,58.00,390242.00,249.23,258.78,79.40,843.47,705.35,0.00,0.00,signal detected
METRONIDAZOLE,TOXIC ENCEPHALOPATHY,4,224.00,27.00,390126.00,253.51,258.02,89.55,743.42,876.31,0.00,0.00,signal detected
VENLAFAXINE,ELECTRIC SHOCK SENSATION,5,420.00,18.00,389938.00,254.87,257.90,95.31,697.84,989.58,0.00,0.00,signal detected
KERENDIA,GLOMERULAR FILTRATION RATE DECREASED,7,103.00,103.00,390168.00,241.12,257.44,116.89,566.99,1567.80,0.00,0.00,signal detected
CIPROFLOXACIN,TENDON PAIN,8,551.00,22.00,389800.00,253.58,257.25,114.04,580.31,1476.10,0.00,0.00,signal detected
LEFLUNOMIDE,LUNG ADENOCARCINOMA,3,157.00,29.00,390192.00,252.30,257.10,77.52,852.71,680.56,0.00,0.00,signal detected
ELTROMBOPAG OLAMINE,PLATELET COUNT INCREASED,4,81.00,75.00,390221.00,244.89,256.94,91.81,719.05,922.58,0.00,0.00,signal detected
APOKYN,ON AND OFF PHENOMENON,3,304.00,15.00,390059.00,254.12,256.62,73.91,890.95,630.34,0.00,0.00,signal detected
CIMZIA,AXIAL SPONDYLOARTHRITIS,36,5408.00,10.00,384927.00,254.55,256.24,127.10,516.59,1976.75,0.00,0.00,signal detected
HALOPERIDOL,TARDIVE DYSKINESIA,3,61.00,75.00,390242.00,243.95,255.90,78.55,833.61,698.08,0.00,0.00,signal detected
WOMENS ROGAINE,APPLICATION SITE PAIN,4,61.00,100.00,390216.00,240.19,255.88,91.31,717.05,916.39,0.00,0.00,signal detected
PREDNISONE,CLEAR CELL RENAL CELL CARCINOMA,5,1087.00,7.00,389282.00,254.64,255.80,81.06,807.23,736.89,0.00,0.00,signal detected
ISOTRETINOIN,ABORTION INDUCED,3,148.00,31.00,390199.00,250.09,255.14,77.16,843.73,678.68,0.00,0.00,signal detected
TRUVADA,TOOTH LOSS,25,490.00,78.00,389788.00,242.64,254.96,161.10,403.51,4556.99,0.00,0.00,signal detected
SLYND,VAGINAL DISCHARGE,5,247.00,31.00,390098.00,249.70,254.73,98.24,660.50,1066.60,0.00,0.00,signal detected
MORPHINE SULFATE,HYPOTHERMIA,5,219.00,35.00,390122.00,248.82,254.48,98.78,655.64,1079.99,0.00,0.00,signal detected
MINOXIDIL,APPLICATION SITE IRRITATION,42,1396.00,46.00,388897.00,246.96,254.36,166.86,387.74,5379.19,0.00,0.00,signal detected
FENTANYL TRANSDERMAL SYSTEM,PRODUCT ADHESION ISSUE,5,20.00,384.00,389972.00,203.31,253.89,94.80,679.93,994.63,0.00,0.00,signal detected
INGREZZA,DROOLING,5,265.00,29.00,390082.00,249.11,253.79,97.50,660.66,1053.97,0.00,0.00,signal detected
TOCILIZUMAB,HAEMATOLOGICAL INFECTION,15,278.00,83.00,390005.00,240.61,253.54,144.48,444.89,3032.10,0.00,0.00,signal detected
ANTICOAGULANT SODIUM CITRATE,PARAESTHESIA ORAL,3,77.00,60.00,390241.00,243.94,253.40,77.80,825.39,691.38,0.00,0.00,signal detected
IMBRUVICA,MANTLE CELL LYMPHOMA,3,1155.00,4.00,389219.00,252.09,252.74,56.50,1130.54,428.74,0.00,0.00,signal detected
KYLEENA,ABDOMINAL PAIN LOWER,9,160.00,87.00,390125.00,238.86,252.24,124.81,509.76,1932.37,0.00,0.00,signal detected
PACLITAXEL,RADIATION PNEUMONITIS,6,619.00,15.00,389741.00,249.44,251.85,97.40,651.25,1060.55,0.00,0.00,signal detected
CEREZYME,PRODUCT PREPARATION ISSUE,3,62.00,75.00,390241.00,240.19,251.77,77.32,819.81,687.25,0.00,0.00,signal detected
OMEPRAZOLE,HYPOMAGNESAEMIA,15,401.00,58.00,389907.00,242.44,251.47,141.34,447.40,2866.04,0.00,0.00,signal detected
PHESGO,LOCAL REACTION,3,1161.00,4.00,389213.00,250.78,251.43,56.21,1124.67,426.50,0.00,0.00,signal detected
MONTELUKAST,DECREASED INTEREST,3,333.00,14.00,390031.00,248.75,250.99,71.79,877.42,609.66,0.00,0.00,signal detected
YERVOY,HYPOTHALAMO-PITUITARY DISORDER,6,622.00,15.00,389738.00,248.25,250.64,96.93,648.09,1055.43,0.00,0.00,signal detected
HYDROXYCHLOROQUINE,CARDIOTOXICITY,11,204.00,84.00,390082.00,237.64,250.40,131.60,476.44,2292.53,0.00,0.00,signal detected
VIREAD,RENAL INJURY,3,117.00,40.00,390221.00,243.91,250.14,76.31,819.93,675.19,0.00,0.00,signal detected
VIREAD,OSTEOPENIA,3,117.00,40.00,390221.00,243.91,250.14,76.31,819.93,675.19,0.00,0.00,signal detected
OXYCONTIN,DRUG WITHDRAWAL SYNDROME,5,120.00,65.00,390191.00,240.16,250.12,98.98,632.08,1105.95,0.00,0.00,signal detected
CLIMARA PRO,DEVICE ADHESION ISSUE,5,28.00,279.00,390069.00,211.98,249.66,95.71,651.26,1032.21,0.00,0.00,signal detected
VASCEPA,PRODUCT ODOUR ABNORMAL,3,77.00,61.00,390240.00,239.94,249.25,76.56,811.50,680.48,0.00,0.00,signal detected
ROMOSOZUMAB,ACUTE MYOCARDIAL INFARCTION,3,28.00,168.00,390182.00,224.86,248.84,74.93,826.39,657.14,0.00,0.00,signal detected
SODIUM BICARBONATE,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,5,11.00,714.00,389651.00,170.85,248.06,85.97,715.77,839.97,0.00,0.00,signal detected
BENDAMUSTINE HYDROCHLORIDE,DERMATITIS EXFOLIATIVE GENERALISED,3,101.00,47.00,390230.00,239.53,246.62,75.53,805.28,669.94,0.00,0.00,signal detected
BRIMONIDINE TARTRATE,PRODUCT DELIVERY MECHANISM ISSUE,3,36.00,132.00,390210.00,227.47,246.34,74.94,809.84,661.63,0.00,0.00,signal detected
IMATINIB,GASTROINTESTINAL STROMAL TUMOUR,3,297.00,16.00,390065.00,243.80,246.25,71.38,849.58,610.90,0.00,0.00,signal detected
LUMRYZ,INITIAL INSOMNIA,18,594.00,48.00,389721.00,238.83,246.04,142.28,425.45,3100.89,0.00,0.00,signal detected
TECENTRIQ,TRIPLE NEGATIVE BREAST CANCER,3,792.00,6.00,389580.00,245.02,245.95,61.40,985.15,486.06,0.00,0.00,signal detected
CABENUVA,BLOOD HIV RNA INCREASED,4,397.00,16.00,389964.00,243.13,245.57,81.74,737.79,771.67,0.00,0.00,signal detected
WARFARIN,MELAENA,3,53.00,90.00,390235.00,232.34,245.43,75.31,799.84,668.89,0.00,0.00,signal detected
NIVOLUMAB,IMMUNE-MEDIATED DERMATITIS,3,367.00,13.00,389998.00,243.25,245.23,69.59,864.17,588.08,0.00,0.00,signal detected
RISPERDAL,BLOOD PROLACTIN INCREASED,5,530.00,15.00,389831.00,242.89,245.18,88.79,677.02,903.42,0.00,0.00,signal detected
REFRESH RELIEVA,DRY EYE,3,11.00,434.00,389933.00,192.74,245.04,68.12,881.38,568.95,0.00,0.00,signal detected
ETONOGESTREL,COMPLICATION ASSOCIATED WITH DEVICE,3,87.00,55.00,390236.00,236.54,244.66,75.11,796.95,667.34,0.00,0.00,signal detected
TALVEY,AGEUSIA,7,98.00,114.00,390162.00,228.23,244.46,111.12,537.83,1492.50,0.00,0.00,signal detected
MS CONTIN,TREATMENT FAILURE,3,5.00,957.00,389416.00,152.97,244.15,58.26,1023.07,452.62,0.00,0.00,signal detected
PROGESTERONE,POOR QUALITY PRODUCT ADMINISTERED,11,104.00,169.00,390097.00,220.89,244.14,128.80,462.77,2261.70,0.00,0.00,signal detected
GAZYVA,COVID-19 PNEUMONIA,10,94.00,170.00,390107.00,220.74,244.12,125.04,476.62,2066.92,0.00,0.00,signal detected
CARBIDOPA\LEVODOPA,EMBEDDED DEVICE,17,1131.00,24.00,389209.00,240.16,243.76,130.60,454.97,2370.30,0.00,0.00,signal detected
BRIDION,ANAPHYLACTIC REACTION,8,20.00,640.00,389713.00,174.26,243.57,106.89,555.01,1363.41,0.00,0.00,signal detected
TAVALISSE,SPLENECTOMY,3,963.00,5.00,389410.00,241.87,242.62,57.90,1016.67,449.78,0.00,0.00,signal detected
ROGAINE,PRODUCT ADMINISTERED AT INAPPROPRIATE SITE,6,35.00,276.00,390064.00,206.97,242.28,101.09,580.63,1204.54,0.00,0.00,signal detected
BOTOX COSMETIC,MULTIPLE USE OF SINGLE-USE PRODUCT,8,444.00,29.00,389900.00,237.98,242.25,110.14,532.84,1479.82,0.00,0.00,signal detected
BIMZELX,ORAL CANDIDIASIS,17,409.00,67.00,389888.00,232.26,241.87,140.81,415.49,3122.98,0.00,0.00,signal detected
MINOXIDIL,DANDRUFF,8,1430.00,9.00,388934.00,240.42,241.76,93.14,627.51,1009.85,0.00,0.00,signal detected
DEXTROSE\LIDOCAINE HYDROCHLORIDE,DRUG INEFFECTIVE,16,2.00,12529.00,377834.00,27.69,241.25,55.46,1049.38,424.82,0.00,0.00,signal detected
NUPLAZID,PATIENT ELOPEMENT,4,2146.00,3.00,388228.00,240.76,241.21,53.95,1078.41,409.32,0.00,0.00,signal detected
PREMARIN,BODY HEIGHT DECREASED,3,270.00,18.00,390090.00,238.16,240.80,70.52,822.24,607.32,0.00,0.00,signal detected
STRENSIQ,LIPODYSTROPHY ACQUIRED,4,1078.00,6.00,389293.00,239.86,240.75,67.84,854.35,570.90,0.00,0.00,signal detected
COMPLERA,RENAL FAILURE,5,13.00,623.00,389740.00,174.05,240.61,85.52,676.94,854.81,0.00,0.00,signal detected
SLYND,DYSMENORRHOEA,10,242.00,67.00,390062.00,231.06,240.57,122.33,473.10,1993.59,0.00,0.00,signal detected
SPINRAZA,PROTEIN URINE PRESENT,3,174.00,28.00,390176.00,236.20,240.26,72.37,797.62,634.67,0.00,0.00,signal detected
TACROLIMUS,IMMUNOSUPPRESSANT DRUG LEVEL INCREASED,10,1247.00,13.00,389111.00,238.13,240.03,105.05,548.43,1334.74,0.00,0.00,signal detected
CARFILZOMIB,PLASMA CELL MYELOMA RECURRENT,3,80.00,61.00,390237.00,231.26,239.90,73.74,780.44,655.67,0.00,0.00,signal detected
METHADONE,DRUG WITHDRAWAL SYNDROME,3,73.00,67.00,390238.00,229.95,239.36,73.61,778.34,654.68,0.00,0.00,signal detected
PLAVIX,HAEMATEMESIS,4,64.00,102.00,390211.00,225.09,239.10,85.48,668.82,858.95,0.00,0.00,signal detected
PEMETREXED,VISCERAL LEISHMANIASIS,3,408.00,12.00,389958.00,237.21,238.94,67.18,849.91,564.53,0.00,0.00,signal detected
PREDNISONE,CRYPTOCOCCOSIS,4,1088.00,6.00,389283.00,237.66,238.53,67.22,846.47,565.61,0.00,0.00,signal detected
HEMABATE,ABDOMINAL DISCOMFORT,4,8.00,817.00,389552.00,159.27,238.40,71.65,793.28,627.36,0.00,0.00,signal detected
ABILIFY MAINTENA,THERAPY CHANGE,4,63.00,104.00,390210.00,224.06,238.22,85.15,666.45,855.60,0.00,0.00,signal detected
TRUVADA,OSTEONECROSIS,36,479.00,123.00,389743.00,221.57,238.14,162.52,348.95,6117.36,0.00,0.00,signal detected
ADVIL PM (DIPHENHYDRAMINE CITRATE\IBUPROFEN),DRUG EFFECTIVE FOR UNAPPROVED INDICATION,13,34.00,626.00,389708.00,172.47,238.03,125.02,453.19,2174.63,0.00,0.00,signal detected
DEXTROMETHORPHAN HYDROBROMIDE\QUINIDINE SULFATE,DEATH,41,6.00,10916.00,379418.00,31.19,237.51,100.82,559.56,1228.22,0.00,0.00,signal detected
ALPROLIX,HAEMORRHAGE,33,80.00,677.00,389591.00,168.35,237.38,157.15,358.57,5244.09,0.00,0.00,signal detected
REMODULIN,PURULENT DISCHARGE,3,704.00,7.00,389667.00,236.21,237.22,61.22,919.21,491.87,0.00,0.00,signal detected
CYCLOSPORINE,POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,24,450.00,88.00,389819.00,224.34,236.25,149.04,374.52,4194.03,0.00,0.00,signal detected
HUMATE-P,HEAVY MENSTRUAL BLEEDING,3,46.00,108.00,390224.00,221.28,235.64,72.19,769.22,640.25,0.00,0.00,signal detected
CETIRIZINE,REBOUND EFFECT,3,89.00,56.00,390233.00,227.26,234.89,72.18,764.39,641.54,0.00,0.00,signal detected
LILETTA,EMBEDDED DEVICE,5,231.00,36.00,390109.00,229.61,234.55,91.23,603.03,999.37,0.00,0.00,signal detected
AUVELITY,LOSS OF THERAPEUTIC RESPONSE,6,208.00,48.00,390119.00,227.90,234.45,99.26,553.77,1205.00,0.00,0.00,signal detected
SOTORASIB,HEPATOTOXICITY,3,27.00,185.00,390166.00,211.00,234.33,70.47,779.18,617.31,0.00,0.00,signal detected
MONTELUKAST,LUNG INFILTRATION,3,333.00,15.00,390030.00,232.17,234.25,67.50,812.94,575.46,0.00,0.00,signal detected
ARIPIPRAZOLE,ANGLE CLOSURE GLAUCOMA,6,625.00,16.00,389734.00,231.63,233.84,91.20,599.56,1002.08,0.00,0.00,signal detected
CALCIPOTRIENE,PRODUCT PRESCRIBING ISSUE,3,13.00,385.00,389980.00,190.11,233.75,66.35,823.57,560.55,0.00,0.00,signal detected
DABIGATRAN ETEXILATE MESYLATE,COAGULOPATHY,4,131.00,51.00,390195.00,226.72,233.61,83.23,655.69,833.65,0.00,0.00,signal detected
PONATINIB,ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT,5,288.00,29.00,390059.00,229.54,233.51,89.76,607.49,970.51,0.00,0.00,signal detected
OXYBUTYNIN,KIDNEY INFECTION,3,38.00,132.00,390208.00,216.37,233.38,71.16,765.41,629.06,0.00,0.00,signal detected
CLOPIDOGREL BISULFATE,MELAENA,5,95.00,88.00,390193.00,221.75,233.37,92.70,587.51,1039.95,0.00,0.00,signal detected
VENCLEXTA,ACUTE MYELOID LEUKAEMIA RECURRENT,11,1311.00,14.00,389045.00,231.23,233.16,105.65,514.56,1412.19,0.00,0.00,signal detected
XIIDRA,FOREIGN BODY SENSATION IN EYES,4,197.00,34.00,390146.00,228.38,232.99,81.91,662.77,810.28,0.00,0.00,signal detected
TACROLIMUS,ALVEOLAR PROTEINOSIS,3,1254.00,4.00,389120.00,232.17,232.73,52.03,1040.93,394.60,0.00,0.00,signal detected
DELFLEX WITH DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM,HYPERVOLAEMIA,4,86.00,78.00,390213.00,222.39,232.69,83.34,649.69,838.74,0.00,0.00,signal detected
INVEGA SUSTENNA,BLOOD PROLACTIN INCREASED,4,419.00,16.00,389942.00,230.47,232.66,77.46,698.85,731.16,0.00,0.00,signal detected
FINGOLIMOD,REBOUND EFFECT,4,122.00,55.00,390200.00,225.26,232.61,83.01,651.82,832.62,0.00,0.00,signal detected
TALVEY,IMMUNE EFFECTOR CELL-ASSOCIATED NEUROTOXICITY SYNDROME,7,98.00,120.00,390156.00,216.82,232.24,105.67,510.39,1421.35,0.00,0.00,signal detected
BEVESPI AEROSPHERE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,4,30.00,224.00,390123.00,205.01,232.22,81.14,664.58,798.30,0.00,0.00,signal detected
CLOPIDOGREL,UPPER GASTROINTESTINAL HAEMORRHAGE,15,311.00,81.00,389974.00,221.57,232.21,132.37,407.36,2779.70,0.00,0.00,signal detected
BRIDION,BRADYCARDIA,4,24.00,280.00,390073.00,199.16,232.19,80.04,673.53,778.12,0.00,0.00,signal detected
LISDEXAMFETAMINE DIMESYLATE,INTENTIONAL OVERDOSE,58,270.00,361.00,389692.00,191.06,231.89,171.47,313.60,9458.02,0.00,0.00,signal detected
ORSERDU,TUMOUR MARKER INCREASED,24,1302.00,31.00,389024.00,227.15,231.32,135.39,395.24,3046.18,0.00,0.00,signal detected
LEQVIO,LOW DENSITY LIPOPROTEIN DECREASED,3,460.00,11.00,389907.00,229.68,231.17,64.28,831.35,536.70,0.00,0.00,signal detected
AMPHETAMINE,TOXICITY TO VARIOUS AGENTS,13,17.00,1289.00,389062.00,131.23,230.81,111.88,476.19,1668.85,0.00,0.00,signal detected
